Sample	posterior	likelihood	prior	Tree.t:Ecoli_rplA.CFheight	Tree.t:Ecoli_rplA.CFlength	Tree.t:Ecoli_rplA.nConv	Tree.t:Ecoli_rplA.nUselessConvs	Tree.t:Ecoli_rplA.meanEdgeLength	Tree.t:Ecoli_rplA.meanDepartureHeight	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.randomEndSite	popSize.t:Ecoli_rplA	kappa.s:Ecoli_rplA	freqParameter.s:Ecoli_rplA1	freqParameter.s:Ecoli_rplA2	freqParameter.s:Ecoli_rplA3	freqParameter.s:Ecoli_rplA4
0	-62274.867842806125	-47658.28145537616	-14616.586387429972	1.9215419636884004	8.053630926676963	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	2.0	0.25	0.25	0.25	0.25
1000	-9255.786702315272	-9154.149754271466	-101.63694804380602	0.009226093329430824	0.052921048703555136	3	0	0.015617750544854045	0.0025251422266908768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.0	105.0	501.0	605.0	501.0	605.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.0	54.0	0.0	53.0	0.0	53.0	14.0	14.0	0.0	13.0	0.0	13.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7901218978746173	2.9336017649190733	0.25	0.25	0.25	0.25
2000	-8768.375609966062	-8749.142504687317	-19.233105278744702	0.0023623351515515323	0.012507657778323602	2	0	0.007687958982437364	7.5883565555324E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.0	25.0	230.0	254.0	230.0	254.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.0	300.0	0.0	299.0	0.0	299.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4504547682713357	2.9336017649190733	0.2417442441150195	0.2505788470732759	0.2576769088117047	0.25
3000	-8678.962787339375	-8696.784719570263	17.821932230888496	0.0011277949799321054	0.0067231110509511065	1	0	0.0029813350170645025	3.526362125361039E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	132.0	132.0	303.0	434.0	303.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.20804053757547128	3.7653353309537763	0.2417442441150195	0.2505788470732759	0.2576769088117047	0.25
4000	-8653.730461830346	-8688.67310000064	34.942638170294366	8.319589410288511E-4	0.004816135665346982	1	0	3.9751159640501985E-4	3.840889215675572E-4	NaN	NaN	NaN	NaN	NaN	NaN	721.0	721.0	101.0	821.0	101.0	821.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11336418251861166	3.7653353309537763	0.2417442441150195	0.2505788470732759	0.2576769088117047	0.25
5000	-8644.991690660094	-8689.63023738488	44.63854672478604	0.0012300401768811145	0.0057249510773546425	3	1	0.014391556294694206	5.107856494250684E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	232.5	281.0	0.0	231.5	0.0	280.0	212.0	212.0	0.0	211.0	0.0	211.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.07069678886180489	3.039667485691443	0.23823908132563987	0.2505788470732759	0.2611820716010843	0.25
6000	-8618.607399980108	-8685.144123598762	66.53672361865357	0.0012063563450793481	0.005690565255930371	1	0	0.0022000530222357497	9.883636082768403E-4	434.0	434.0	271.0	704.0	271.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.02774797137857772	2.12727911439093	0.23823908132563987	0.2505788470732759	0.2611820716010843	0.25
7000	-8600.28743323812	-8688.781449129816	88.49401589169601	5.590049047843002E-4	0.0031832500165160254	4	0	0.002304779973314069	2.4839321086850855E-4	444.0	444.0	261.0	704.0	261.0	704.0	51.0	51.0	0.0	50.0	0.0	50.0	NaN	NaN	NaN	NaN	NaN	NaN	60.0	60.0	0.0	59.0	0.0	59.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	196.0	196.0	239.0	434.0	239.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.015753170350780787	2.12727911439093	0.23823908132563987	0.25124654806449825	0.2611820716010843	0.24933229900877762
8000	-8614.87737136942	-8688.185019074961	73.30764770553938	0.0012761885827802279	0.005807293772037837	5	0	0.002797175246150925	5.729154632723949E-4	441.0	441.0	264.0	704.0	264.0	704.0	174.0	174.0	23.0	196.0	23.0	196.0	NaN	NaN	NaN	NaN	NaN	NaN	241.0	241.0	0.0	240.0	0.0	240.0	368.0	160.66666666666666	6.5	373.5	0.0	266.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.013407620838860445	3.268016501942235	0.2429336200453453	0.25124654806449825	0.2611820716010843	0.2446377602890722
9000	-8580.009831474696	-8680.694606846822	100.68477537212685	8.904543497437111E-4	0.005145724778527301	3	0	9.117138321207066E-4	3.1015636474742006E-4	445.0	445.0	260.0	704.0	260.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	224.0	224.0	0.0	223.0	0.0	223.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	348.0	348.0	0.0	347.0	0.0	347.0	NaN	NaN	NaN	NaN	NaN	NaN	0.009374003881395117	3.2585001610676425	0.2429336200453453	0.2592316155148323	0.2611820716010843	0.23665269283873816
10000	-8555.597196649787	-8677.69691584622	122.09971919643293	0.0010055983969829737	0.006072593713926409	8	0	0.001340476801210722	3.15629675564534E-4	233.0	221.5	472.0	704.0	262.0	704.0	822.0	822.0	0.0	821.0	0.0	821.0	NaN	NaN	NaN	NaN	NaN	NaN	39.0	39.0	0.0	38.0	0.0	38.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	257.0	257.0	0.0	256.0	0.0	256.0	NaN	NaN	NaN	NaN	NaN	NaN	46.0	46.0	338.0	383.0	338.0	383.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	241.0	178.5	0.0	240.0	0.0	124.0	0.006590177355758143	3.2585001610676425	0.2429336200453453	0.2592316155148323	0.2611820716010843	0.23665269283873816
11000	-8555.508424644357	-8673.956105216414	118.44768057205634	7.773619421801177E-4	0.0050715012574076715	4	0	8.763488988764113E-4	3.426833440650067E-4	443.0	443.0	262.0	704.0	262.0	704.0	822.0	822.0	0.0	821.0	0.0	821.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	257.0	257.0	0.0	256.0	0.0	256.0	156.0	156.0	255.0	410.0	255.0	410.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004418851741037088	2.6611862311094483	0.2429336200453453	0.2592316155148323	0.2611820716010843	0.23665269283873816
12000	-8513.997543606047	-8675.210300435843	161.21275682979612	0.0013166375915089645	0.005544767218710064	11	0	0.001802604199169145	3.87766897101116E-4	573.5	352.5	131.5	704.0	263.0	704.0	453.0	411.0	0.0	452.0	0.0	821.0	NaN	NaN	NaN	NaN	NaN	NaN	606.0	606.0	0.0	605.0	0.0	605.0	540.0	540.0	0.0	539.0	0.0	539.0	83.0	83.0	84.5	166.5	169.0	163.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.0	67.0	0.0	66.0	0.0	66.0	NaN	NaN	NaN	NaN	NaN	NaN	348.0	348.0	0.0	347.0	0.0	347.0	NaN	NaN	NaN	NaN	NaN	NaN	0.003773952945430287	2.6611862311094483	0.2429336200453453	0.2592316155148323	0.2611820716010843	0.23665269283873816
13000	-8519.744536040378	-8667.126886698112	147.38235065773415	9.876717369533075E-4	0.004792900007481597	6	0	0.0013443546931889117	4.0268866760344367E-4	577.0	352.5	128.0	704.0	256.0	704.0	822.0	822.0	0.0	821.0	0.0	821.0	NaN	NaN	NaN	NaN	NaN	NaN	96.0	96.0	510.0	605.0	510.0	605.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	435.0	435.0	0.0	434.0	0.0	434.0	180.0	180.0	231.0	410.0	231.0	410.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0027341231688532376	1.4205181060992322	0.2429336200453453	0.2592316155148323	0.2611820716010843	0.23665269283873816
14000	-8477.553449614887	-8670.0804764683	192.52702685341333	0.0013497594504766198	0.005409531234311152	11	0	5.376356139301857E-4	3.2459182947907516E-4	619.6666666666666	352.5	85.33333333333333	704.0	256.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.0	27.0	0.0	26.0	0.0	26.0	363.0	363.0	171.0	533.0	171.0	533.0	435.0	435.0	0.0	434.0	0.0	434.0	241.0	137.0	38.666666666666664	278.6666666666667	0.0	410.0	NaN	NaN	NaN	NaN	NaN	NaN	354.0	354.0	0.0	353.0	0.0	353.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0013587204185798534	1.8929998370028736	0.23529153622131166	0.2592316155148323	0.26882415542511795	0.23665269283873816
15000	-8482.65440823487	-8662.337824100565	179.6834158656939	0.0011222613445097123	0.0036021370957382915	10	0	4.990229632943006E-4	4.3907606160535097E-4	705.0	705.0	0.0	704.0	0.0	704.0	338.0	338.0	452.0	789.0	452.0	789.0	461.5	302.5	0.0	460.5	0.0	604.0	606.0	606.0	0.0	605.0	0.0	605.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	354.5	217.5	80.5	434.0	0.0	434.0	207.0	207.0	204.0	410.0	204.0	410.0	185.0	185.0	199.0	383.0	199.0	383.0	NaN	NaN	NaN	NaN	NaN	NaN	251.0	251.0	97.0	347.0	97.0	347.0	NaN	NaN	NaN	NaN	NaN	NaN	9.620054068471015E-4	1.2327162715858921	0.23529153622131166	0.2592316155148323	0.26882415542511795	0.23665269283873816
16000	-8393.801123908228	-8662.473039970637	268.6719160624084	0.0015669672049124102	0.004505670690585395	14	0	2.903430387445498E-4	4.4825885367162773E-4	705.0	705.0	0.0	704.0	0.0	704.0	822.0	822.0	0.0	821.0	0.0	821.0	630.0	630.0	0.0	629.0	0.0	629.0	606.0	606.0	0.0	605.0	0.0	605.0	540.0	540.0	0.0	539.0	0.0	539.0	NaN	NaN	NaN	NaN	NaN	NaN	338.0	217.5	97.0	434.0	0.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	384.0	384.0	0.0	383.0	0.0	383.0	354.0	354.0	0.0	353.0	0.0	353.0	NaN	NaN	NaN	NaN	NaN	NaN	344.0	344.0	13.0	356.0	13.0	356.0	5.216581230706391E-4	1.2327162715858921	0.23671905201416862	0.2531153522503331	0.2818263969607965	0.2283391987747019
17000	-8493.307218413263	-8661.599140607943	168.29192219467944	0.001377636983567026	0.00416224588838488	6	0	3.8455107826585594E-4	3.7343095155425375E-4	411.5	235.0	98.5	509.0	197.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	606.0	606.0	0.0	605.0	0.0	605.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	435.0	435.0	0.0	434.0	0.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	256.5	118.0	33.5	289.0	0.0	225.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.545478523918505E-4	1.2327162715858921	0.23671905201416862	0.24996878419025456	0.279357791658497	0.23395437213707992
18000	-8457.245501599407	-8659.96716610366	202.7216645042515	0.0016522462260425976	0.004662729950130205	10	1	3.744016496036383E-4	5.007634049286683E-4	417.5	235.0	143.0	559.5	286.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	5.0	5.0	402.0	406.0	402.0	406.0	606.0	606.0	0.0	605.0	0.0	605.0	540.0	540.0	0.0	539.0	0.0	539.0	NaN	NaN	NaN	NaN	NaN	NaN	435.0	435.0	0.0	434.0	0.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	22.0	22.0	362.0	383.0	362.0	383.0	354.0	354.0	0.0	353.0	0.0	353.0	348.0	348.0	0.0	347.0	0.0	347.0	NaN	NaN	NaN	NaN	NaN	NaN	5.260445540740936E-4	1.2327162715858921	0.23671905201416862	0.24996878419025456	0.279357791658497	0.23395437213707992
19000	-8471.336625676127	-8660.760255876907	189.42363020077883	7.154377148635891E-4	0.0023623188543100576	6	0	3.2226361750712555E-4	3.1544953453163795E-4	705.0	705.0	0.0	704.0	0.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	164.0	164.0	77.0	240.0	77.0	240.0	NaN	NaN	NaN	NaN	NaN	NaN	435.0	435.0	0.0	434.0	0.0	434.0	46.0	46.0	0.0	45.0	0.0	45.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	348.0	348.0	0.0	347.0	0.0	347.0	357.0	357.0	0.0	356.0	0.0	356.0	5.253448351973417E-4	1.2327162715858921	0.24512170227579894	0.24996878419025456	0.2730887226724558	0.23182079086149082
20000	-8477.23687743358	-8659.672898432764	182.43602099918456	9.656678481207215E-4	0.0032149159886775648	8	0	4.7664897922924156E-4	2.774461931359118E-4	668.6666666666666	352.5	0.0	667.6666666666666	0.0	704.0	224.0	224.0	598.0	821.0	598.0	821.0	442.0	442.0	9.0	450.0	9.0	450.0	NaN	NaN	NaN	NaN	NaN	NaN	65.0	65.0	475.0	539.0	475.0	539.0	NaN	NaN	NaN	NaN	NaN	NaN	435.0	435.0	0.0	434.0	0.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.182050469682631E-4	1.2327162715858921	0.24757820643006523	0.24996878419025456	0.2730887226724558	0.22936428670722453
21000	-8431.964240649137	-8660.08002601602	228.1157853668827	0.001079949476270003	0.0032583603989647693	11	0	9.77318022340373E-5	3.906708169351819E-4	387.5	352.5	0.0	386.5	0.0	69.0	822.0	822.0	0.0	821.0	0.0	821.0	NaN	NaN	NaN	NaN	NaN	NaN	36.0	36.0	570.0	605.0	570.0	605.0	NaN	NaN	NaN	NaN	NaN	NaN	317.0	178.0	142.0	458.0	284.0	383.0	435.0	435.0	0.0	434.0	0.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.0	53.0	301.0	353.0	301.0	353.0	207.0	174.0	0.0	206.0	0.0	347.0	357.0	357.0	0.0	356.0	0.0	356.0	4.226112373605095E-4	1.2327162715858921	0.24757731183182718	0.2472186130949793	0.2730887226724558	0.23211535240073783
22000	-8445.744537676412	-8664.850605758209	219.10606808179654	0.0013710233858149935	0.004789115029374492	11	0	4.974242809548924E-4	4.8507978749997324E-4	705.0	705.0	0.0	704.0	0.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	630.0	630.0	0.0	629.0	0.0	629.0	72.0	72.0	0.0	71.0	0.0	71.0	NaN	NaN	NaN	NaN	NaN	NaN	296.5	267.0	237.5	533.0	475.0	533.0	435.0	435.0	0.0	434.0	0.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	384.0	384.0	0.0	383.0	0.0	383.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	335.0	178.5	22.0	356.0	0.0	356.0	7.888731597096402E-4	2.244484940193833	0.24757731183182718	0.2472186130949793	0.2730887226724558	0.23211535240073783
23000	-8471.679496393734	-8657.8163822573	186.1368858635672	9.563239030088924E-4	0.0032802308676556347	6	1	2.6727705132406724E-4	4.11410698128855E-4	705.0	705.0	0.0	704.0	0.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.0	63.0	0.0	62.0	0.0	62.0	435.0	435.0	0.0	434.0	0.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	276.5	354.0	77.5	353.0	0.0	353.0	NaN	NaN	NaN	NaN	NaN	NaN	357.0	357.0	0.0	356.0	0.0	356.0	6.173153190788284E-4	4.338704859640168	0.24757731183182718	0.24121430486194284	0.2790930309054923	0.23211535240073783
24000	-8463.47669445709	-8655.33145753035	191.85476307326184	0.0011910261317511085	0.003885540407882216	10	0	6.286729789552385E-4	5.293402853742866E-4	499.0	352.5	206.0	704.0	0.0	704.0	456.0	274.0	224.5	679.5	0.0	538.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	435.0	435.0	0.0	434.0	0.0	434.0	408.0	408.0	0.0	407.0	0.0	407.0	NaN	NaN	NaN	NaN	NaN	NaN	163.0	163.0	191.0	353.0	191.0	353.0	348.0	348.0	0.0	347.0	0.0	347.0	349.0	178.5	0.0	348.0	0.0	356.0	5.639008343957554E-4	4.338704859640168	0.25020760858456803	0.24121430486194284	0.2790930309054923	0.229485055647997
25000	-8455.248127351842	-8657.405995747	202.15786839515826	0.001252715189598724	0.0040865399541164015	11	1	2.826829681113301E-4	2.8427389155103404E-4	705.0	705.0	0.0	704.0	0.0	704.0	543.0	543.0	279.0	821.0	279.0	821.0	524.0	524.0	0.0	523.0	0.0	523.0	313.5	202.0	121.5	434.0	0.0	263.0	349.5	540.0	190.5	539.0	381.0	539.0	313.5	267.0	0.0	312.5	0.0	533.0	435.0	435.0	0.0	434.0	0.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	384.0	384.0	0.0	383.0	0.0	383.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.601853355837496E-4	2.30149502236715	0.2516818367993844	0.24121430486194284	0.27048475190352106	0.2366191064351519
